City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
58,Hermanus,-34.4187,19.2345,51.8,82,0,9.86,ZA,2022-04-27 03:01:12
59,Windhoek,-22.5594,17.0832,56.1,61,27,2.95,NA,2022-04-27 03:01:13
60,Novikovo,51.1537,37.8879,49.95,94,0,6.53,RU,2022-04-27 03:01:13
61,Gisborne,-38.6533,178.0042,61.47,69,52,13.42,NZ,2022-04-27 03:01:14
62,Hobart,-42.8794,147.3294,62.26,79,75,5.75,AU,2022-04-27 03:00:13
63,Esperance,-33.8667,121.9,58.84,56,83,6.2,AU,2022-04-27 03:01:14
64,Faanui,-16.4833,-151.75,83.07,69,70,21.56,PF,2022-04-27 03:01:15
65,Souris,49.6172,-100.2612,24.96,89,6,11.34,CA,2022-04-27 03:01:15
66,Biak,-0.9131,122.8766,77.27,91,100,7.43,ID,2022-04-27 03:01:15
67,Comarapa,-17.9,-64.4833,58.03,97,90,4.99,BO,2022-04-27 03:01:16
68,Arvika,59.6553,12.5852,30.81,57,100,4.14,SE,2022-04-27 03:01:16
69,Saint-Philippe,-21.3585,55.7679,72.99,83,43,6.67,RE,2022-04-27 03:01:17
70,Carnarvon,-24.8667,113.6333,73.08,55,77,17.02,AU,2022-04-27 03:01:17
71,Tessalit,20.1986,1.0114,72.07,23,0,7.05,ML,2022-04-27 03:01:18
72,Norman Wells,65.282,-126.8329,41.04,56,20,13.8,CA,2022-04-27 02:57:27
73,Waingapu,-9.6567,120.2641,83.97,63,100,7.07,ID,2022-04-27 03:01:18
74,Husavik,66.0449,-17.3389,36.68,99,100,7.16,IS,2022-04-27 03:01:19
75,Calafell,41.2,1.5683,60.55,72,97,3.0,ES,2022-04-27 03:01:19
76,Shimoda,34.6667,138.95,69.17,95,100,13.69,JP,2022-04-27 03:01:20
77,Bowen,-20.0167,148.2333,79.83,72,31,17.0,AU,2022-04-27 03:00:59
78,Maun,-19.9833,23.4167,69.01,66,32,10.11,BW,2022-04-27 03:01:20
79,Miyako,39.6367,141.9525,61.74,48,100,4.94,JP,2022-04-27 03:01:21
80,Tuatapere,-46.1333,167.6833,55.09,79,66,6.06,NZ,2022-04-27 03:01:21
