City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
548,Biak,ID,84.31,broken clouds,-0.9131,122.8766,Penginapan Kim
549,Srandakan,ID,85.37,overcast clouds,-7.9386,110.2506,Puri Brata
553,Eyl,SO,83.88,broken clouds,7.9803,49.8164,Amiin Hotel
554,Gizo,SB,84.6,broken clouds,-8.103,156.8419,Imagination Island
565,Mount Isa,AU,83.97,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
572,Charters Towers,AU,82.8,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
576,San Patricio,US,80.46,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
578,Manokwari,ID,84.0,scattered clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
580,La Asuncion,VE,87.53,scattered clouds,11.0333,-63.8628,Colinas de Matasiete
581,Celestun,MX,81.07,few clouds,20.8667,-90.4,Posada Lilia
583,Maningrida,AU,89.15,broken clouds,-12.0667,134.2667,Dhukurrdji Lodge
584,Kaili,ID,80.92,broken clouds,-3.4626,120.2147,
585,Kumta,IN,87.17,overcast clouds,14.4167,74.4,Hotel Vaibhav Palace
598,Yumen,CN,80.19,few clouds,40.2833,97.2,
600,Aringay,PH,89.13,scattered clouds,16.4,120.4,Farm Ville Riverside Resort
602,Saint-Georges,GD,80.28,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
610,Tanete,ID,89.94,broken clouds,-3.9443,119.7848,Wisma Tri Multi
621,Jining,CN,86.95,clear sky,35.405,116.5814,Yunhe Star Hotel
622,Puerto Escondido,MX,83.23,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
624,Singaraja,ID,86.97,overcast clouds,-8.112,115.0882,Puri Bagus Lovina Resort
628,Mareeba,AU,82.44,few clouds,-17.0,145.4333,Trinity Plains Tourist Park
631,Balingasay,PH,85.12,broken clouds,16.3573,119.8564,Rock Garden Resort
636,Pochutla,MX,81.82,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
658,Yola,NG,82.45,light rain,9.2,12.4833,Muna Hotel
671,Yarada,IN,88.12,thunderstorm,17.65,83.2667,Yarada Jungle Beach Resorts
